time,headline,sentiment,sentimentValue
2012-05-10T00:00:00Z,So How Do We Talk About This?,Negative,1
2012-05-11T05:01:37Z,How Should Parents Address Internet Pornography?,Positive,3
2012-05-18T00:00:00Z,Ultra-Orthodox Jews to Hold Big Meeting on Internet Risks,Positive,3
2012-05-21T00:00:00Z,Ultra-Orthodox Jews Rally to Discuss Risks of Internet,Positive,3
2012-05-21T13:52:13Z,A Rally to Discuss the Internet,Neutral,2
2012-05-22T00:00:00Z,Fastest Internet Connections,Neutral,2
2012-05-23T00:00:00Z,Partnership to Bring Ultrahigh-Speed Internet to Six Communities,Negative,1
2012-05-23T14:14:12Z,Partnership to Bring Ultrahigh-Speed Internet to Six Communities,Neutral,2
2012-05-23T19:17:04Z,Today's Scuttlebot: Cyberspy School and Internet Destruction,Neutral,2
2012-05-25T00:00:00Z,Keep the Internet Open,Neutral,2
2012-05-30T07:42:18Z,Malicious E-Mail Attachment on Olympics Making Rounds on the Internet,Positive,3
2012-06-05T00:00:00Z,"Free Wi-Fi, but Speed Costs",Neutral,2
2012-06-05T00:00:00Z,"Live and Online, a Game Show Developed for the Internet Age",Neutral,2
2012-06-11T00:00:00Z,Debunking Rumors of an Internet Takeover,Neutral,2
2012-06-13T12:44:51Z,Justice Department Is Said to Investigate Cable Companies Over Internet Video,Negative,1
2012-06-14T00:00:00Z,Adding .app to the Internet,Neutral,2
2012-06-16T00:00:00Z,"Internet Unshackled, Burmese Aim Venom at Ethnic Minority",Negative,1
2012-06-17T00:00:00Z,How Depressives Surf the Web,Neutral,2
2012-06-19T00:00:00Z,Nature Follows a Path of Pixels Into Children’s Hearts,Negative,1
2012-06-20T00:00:00Z,"He Has Seen the Internet, and It Is Us",Positive,3
2012-06-21T17:13:25Z,"The Times Co. Names 2 Directors, Including Joi Ito, Internet Entrepreneur",Negative,1
2012-06-27T00:00:00Z,Sweeping Effects as Broadband Moves to Meters,Positive,3
2012-06-28T00:00:00Z,Leaving Alabama Behind,Neutral,2
2012-06-29T00:00:00Z,Families Estranged in the Internet Age,Positive,3
2012-06-30T00:00:00Z,Dawn Powell’s Diaries for Sale on the Internet,Neutral,2
2012-07-01T00:00:00Z,"I Took a Web Detour, and Now I Feel Better",Neutral,2
2012-07-02T08:00:19Z,Are Internet Breaks the New Coffee Breaks?,Positive,3
2012-07-03T17:41:55Z,Today's Scuttlebot: Ape Language and Internet Influence,Positive,3
2012-07-06T00:00:00Z,A Victory for the Internet,Negative,1
2012-07-06T08:30:42Z,U.N. Affirms Internet Freedom as a Basic Right,Negative,1
2012-07-10T12:20:17Z,The Internet Apocalypse That Wasn't,Positive,3
2012-07-15T00:00:00Z,"Russia, Shifting From Soviet Ways, Hesitantly Welcomes Volunteers in Flood Zone",Positive,3
2012-07-18T00:00:00Z,Malls’ New Pitch: Come for the Experience,Neutral,2
2012-07-19T00:00:00Z,Russian Legislators Approve Greater Government Control Over the Internet and Nonprofits,Positive,3
2012-07-26T12:45:03Z,"Google Unveils Superfast Internet in Kansas City, Mo.",Neutral,2
2012-07-28T00:00:00Z,Behind eBay’s Comeback,Neutral,2
2012-07-28T00:00:00Z,"In Sliding Internet Stocks, Some Hear Echo of 2000",Negative,1
2012-07-30T21:04:20Z,Alibaba Is Said to Be Close to Raising $8 Billion,Neutral,2
2012-07-31T00:00:00Z,Chinese Internet Group Is Said To Be Close to Raising $8 Billion,Neutral,2
2012-07-31T13:46:59Z,New Internet Project for Ricky Gervais,Neutral,2
2012-08-02T00:00:00Z,Internet Business Lifts Comcast Earnings,Negative,1
2012-08-03T00:00:00Z,States Up the Ante in Bid to Lure Other States’ Bettors,Neutral,2
2012-08-03T14:37:32Z,The Long-Term Value of Internet Companies,Negative,1
2012-08-05T00:00:00Z,Internet Pirates Will Always Win,Negative,1
2012-08-06T14:20:00Z,Universities Turn to Internet for Virtual Tours,Neutral,2
2012-08-07T17:10:12Z,Cake Shop Avoids Closing Down,Negative,1
2012-08-08T00:00:00Z,"Our Extinction, via the Internet",Neutral,2
2012-08-08T00:00:00Z,Internet Gambling and More Casinos Threaten Shakopee Tribe,Neutral,2
2012-08-09T00:00:00Z,"$1 Million Each Year for All, as Long as Tribe’s Luck Holds",Positive,3
2012-08-09T00:00:00Z,Internet Campaign Saves a Rock Club,Positive,3
2012-08-13T00:00:00Z,Korea Policing the Net. Twist? It’s South Korea.,Negative,1
2012-08-15T00:00:00Z,Internet Piracy,Neutral,2
2012-08-15T13:31:52Z,Video: Fifth Graders in 1995 Predict How We'll Use the Internet,Positive,3
2012-08-16T10:29:29Z,Shine Is Off Wall Street's Big Bet on Internet Start-Ups,Neutral,2
2012-08-18T00:00:00Z,The Auto Insurance Case That Blew Up on the Internet,Neutral,2
2012-08-22T00:00:00Z,Internet Analysts Question India’s Efforts to Stem Panic,Positive,3
2012-08-23T00:00:00Z,An iPod Sleeve That Promises 'Free Internet Everywhere',Negative,1
2012-08-23T12:20:50Z,"Indian Government Casts a Wide, Puzzling Net Over Internet ",Negative,1
2012-08-24T13:59:32Z,"At the U.S. Open and Beyond, a Radio Announcer's Internet Odyssey ",Negative,1
2012-08-29T16:23:39Z,President Obama Takes Questions From the Internet on Reddit,Positive,3
2012-08-29T16:29:30Z,President Obama Will Take Questions From the Internet on Reddit,Neutral,2
2012-08-31T20:30:13Z,Feline Film Festival,Neutral,2
2012-09-01T00:00:00Z,"At Cat Video Film Festival, Stars Purr for Close-Ups",Neutral,2
2012-09-01T00:00:00Z,AlleyCorp Churns Out Grab Bag of Tech Companies,Positive,3
2012-09-02T19:39:35Z,HBO Will Offer Channel by Internet in Northern Europe,Negative,1
2012-09-03T00:00:00Z,HBO Will Offer Channel By Internet in Northern Europe,Neutral,2
2012-09-05T00:00:00Z,Filial Piety: From Strangling Tigers to Taming the Internet ,Negative,1
2012-09-05T00:00:00Z,Filial Piety: From Strangling Tigers to Taming the Internet ,Neutral,2
2012-09-06T00:00:00Z,Filial Piety: From Strangling Tigers to Taming the Internet,Negative,1
2012-09-10T00:00:00Z,"In One City, Signing Up for Internet Becomes a Civic Cause",Negative,1
2012-09-10T08:10:48Z,Fill-In | A Film Festival for Internet Cat Videos,Positive,3
2012-09-10T08:31:12Z,Signing Up for Google Internet Service Becomes a Civic Cause,Negative,1
2012-09-10T17:57:57Z,Politics and the Pizza Man,Neutral,2
2012-09-11T00:00:00Z,On The Internet: Getting A Taste of Fame,Neutral,2
2012-09-12T00:00:00Z,Beck Takes His Conservative Internet Shows to the Dish Network,Neutral,2
2012-09-17T00:00:00Z,"For a Fee, Streaming Local TV",Negative,1
2012-09-18T00:00:00Z,"All the TV News Since 2009, on One Web Site",Neutral,2
2012-09-18T00:00:00Z,Success of Crowdfunding Puts Pressure on Entrepreneurs,Positive,3
2012-09-18T12:35:28Z,XOXO: A Festival of Indie Internet Creativity,Neutral,2
2012-09-20T00:00:00Z,"Jordan Limits Protests, and Internet, as Tensions Simmer",Neutral,2
2012-09-21T14:20:22Z,"Bonus Riff: Ladies and Gentlemen, Please Welcome the Internet",Neutral,2
2012-09-22T00:00:00Z,"William Duckworth, Internet Composer, Dies at 69",Negative,1
2012-09-23T00:00:00Z,The Internet? We Built That,Positive,3
2012-09-23T00:00:00Z,"Power, Pollution and the Internet",Negative,1
2012-09-23T05:44:18Z,The Internet? We Built That,Positive,3
2012-09-23T12:17:07Z,"Power, Pollution and the Internet",Neutral,2
2012-09-24T00:00:00Z,Proposed Bill Could Change Royalty Rates for Internet Radio,Negative,1
2012-09-24T12:22:14Z,When Internet Factories Come to Town,Negative,1
2012-09-25T17:45:40Z,Estonia Gets Highest Marks for Internet Freedom,Neutral,2
2012-09-26T00:00:00Z,The Internet: Puppet Theater for a New Age,Negative,1
2012-09-26T15:40:08Z,"More Are Watching Internet Video on Actual TVs, Research Shows",Positive,3
2012-09-27T00:00:00Z,"Finding Fame, and Sometimes Fortune, in Social Media",Negative,1
2012-09-28T00:00:00Z,A Dirty Internet: How Data Centers Waste Energy,Neutral,2
2012-09-28T05:53:03Z,Netanyahu's Bomb Explodes on the Internet,Positive,3
2012-09-28T19:29:21Z,Apple's Plans for Internet Radio Run Up Against Big Music Publisher,Neutral,2
2012-09-29T00:00:00Z,"Dazzled by a Cute Picture, More Nannies Fall for Swindle",Neutral,2
2012-09-29T21:39:14Z,The Internet Is Apple’s Achilles’ Heel,Positive,3
2012-10-01T12:53:34Z,Law Firms Mine San Francisco for Internet Start-Up Gold,Neutral,2
2012-10-04T00:00:00Z,"Internet Law in Philippines Takes Effect, Raising Fears",Neutral,2
2012-10-10T00:00:00Z,High Court in Philippines Suspends Contentious Internet Law,Positive,3
2012-10-15T22:00:54Z,Idea That May Spread Via the Internet,Negative,1
2012-10-22T17:05:34Z,The Internet Attack That Wasn't,Positive,3
2012-11-12T11:26:11Z,"Reform and the Internet, With Chinese Characteristics",Negative,1
2012-11-16T09:41:44Z,"The Breakfast Meeting: Targeted Ads Reshape Online Media, and Gaza Conflict on the Internet",Positive,3
2012-11-18T00:00:00Z,You Can’t Say That on the Internet,Negative,1
2012-11-18T05:41:37Z,Opinion: You Can't Say That on the Internet,Negative,1
2012-11-20T00:00:00Z,Scientists Find Cheaper Way to Ensure Internet Security,Negative,1
2012-11-20T07:27:34Z,How to Steer Clear of India's Strict Internet Laws,Negative,1
2012-11-20T08:53:27Z,Daily Report: College of the Future May Be on the Internet,Neutral,2
2012-11-20T10:45:27Z,Scientists Find Cheaper Way to Ensure Internet Security,Negative,1
2012-11-22T00:00:00Z,Don’t Ask? Internet Still Tells,Neutral,2
2012-11-23T00:13:09Z,"Conceived in Haste, India's Internet Law Now Targeted for Change",Neutral,2
2012-11-24T10:36:22Z,"Conceived in Haste, India’s Internet Law Now Targeted for Change",Negative,1
2012-11-28T00:00:00Z,Integrity of Internet Is Crux of Global Conference,Negative,1
2012-11-28T09:16:01Z,Integrity of Internet Is Crux of Global Conference,Neutral,2
2012-11-29T00:00:00Z,Mediator Joins Contentious Effort to Add a ‘Do Not Track’ Option to Web Browsing,Neutral,2
2012-11-29T09:17:38Z,Enforcement of India's Internet Law to Be Revised,Positive,3
2012-11-29T12:09:14Z,Internet Shutdown Reported Across Syria,Negative,1
2012-11-29T22:26:24Z,India to Revise Enforcement of Internet Law,Negative,1
2012-11-30T00:00:00Z,Main Airport and Internet Are Disrupted in Syria,Negative,1
2012-11-30T00:00:00Z,India to Revise Enforcement of Internet Law,Negative,1
2012-11-30T13:32:21Z,Five Ways Indian Internet Users Are Fighting for Free Speech,Neutral,2
2012-12-06T13:00:00Z,"To Get Noticed, Chinese Artists Look to Internet",Positive,3
2012-12-07T00:00:00Z,Hands Off the Internet!,Negative,1
2012-12-07T00:00:00Z,Drafters of Communications Treaty Are Split on Issue of Internet Governance,Neutral,2
2012-12-10T00:00:00Z,Internet Freedom Advocates in Tow,Positive,3
2012-12-13T00:00:00Z,G.O.P. Balks at Plan to Add Airwaves for Mobile Internet and Wi-Fi,Negative,1
2012-12-13T00:00:00Z,Internet-Driven Fame and Fortune for Mideast Comedians,Negative,1
2012-12-13T00:00:00Z,"Internet Use in Adoptions Cuts 2 Ways, Report Says",Negative,1
2012-12-13T00:00:00Z,Global Internet Diplomacy,Negative,1
2012-12-13T08:13:38Z,Opinion Report: Internet Censorship,Negative,1
2012-12-14T11:26:00Z,U.S. Rejects Telecommunications Treaty,Negative,1
2012-12-15T05:33:59Z,Looking for Meaning in Walking Out on the Internet Treaty ,Neutral,2
2012-12-18T13:48:51Z,Dead Sea Scrolls Go Digital,Neutral,2
2012-12-18T16:39:51Z,Today's Scuttlebot: Crime Maps and Internet Radio Trouble,Negative,1
2012-12-20T15:41:20Z,Internet Meme Goes Analog,Neutral,2
2012-12-21T00:00:00Z,Police Dept. to Use Internet to Try to Stop Mass Shootings,Negative,1
2012-12-26T10:47:52Z,An Early Tale of the Internet,Negative,1
2012-12-28T09:39:59Z,"The Breakfast Meeting: Tighter Internet Rules in China, and 'Thunderbirds' Creator Dies",Positive,3
2012-12-29T00:00:00Z,China Toughens Its Restrictions on Use of the Internet,Neutral,2
2012-12-29T00:00:00Z,Great Footage! And Jets Notice,Negative,1
2013-01-07T14:37:46Z,Citigroup's Former Internet Analyst Finds New Home at R.B.C.,Neutral,2
2013-01-08T00:00:00Z,France Rejects Plan by Internet Provider to Block Online Ads,Negative,1
2013-01-10T00:00:00Z,Delegation From U.S. Urges Web Access in North Korea,Neutral,2
2013-01-12T16:45:00Z,The Internet Has Physical Ambitions,Negative,1
2013-01-13T00:00:00Z,"Internet Activist, a Creator of RSS, Is Dead at 26, Apparently a Suicide",Neutral,2
2013-01-13T05:32:36Z,"Internet Activist, a Creator of RSS, Is Dead at 26",Positive,3
2013-01-14T11:27:52Z,"Behind the Veil of the Internet, Students Create a World of Affection",Negative,1
2013-01-18T16:19:43Z,Should You Check for Internet Access Before a Play Date?,Neutral,2
2013-01-19T00:00:00Z,Web Tell-All on an Affair Brings Down a Chinese Official,Neutral,2
2013-01-19T23:04:41Z,"At a Memorial, Love for an Internet Activist and Anger Over His Death ",Negative,1
2013-01-21T00:00:00Z,Mixed Response to Comcast in Expanding Net Access,Positive,3
2013-01-21T20:55:00Z,France Proposes an Internet Tax,Neutral,2
2013-01-23T08:00:58Z,Keeping the Internet Safe From Governments,Positive,3
2013-01-23T17:56:21Z,"AT&T's TV, Phone and Internet Service Is Down in Some States",Negative,1
2013-01-24T00:00:00Z,How to Get America Online,Neutral,2
2013-01-28T20:21:00Z,"Today's Scuttlebot: G.E.'s Internet, and Facebook Search Warning",Positive,3
2013-01-31T00:00:00Z,Internet and Federal Act Ease Overseas U.S. Voting,Positive,3
2013-02-12T00:00:00Z,Waste Is Seen in Program to Give Internet Access to Rural U.S.,Positive,3
2013-02-14T00:00:00Z,Fresh From the Internet’s Attic,Negative,1
2013-02-15T00:00:00Z,Rabbi Arrested After Trying to Lure Teenage Girl,Negative,1
2013-02-16T00:00:00Z,"In Britain, an Authority on the Past Stares Down a Nasty Modern Storm",Negative,1
2013-02-22T00:56:18Z,"North Korea Widens Internet Access, but Just for Visitors",Negative,1
2013-02-23T00:00:00Z,"In a Slight Shift, North Korea Widens Internet Access, but Just for Visitors",Positive,3
2013-02-27T00:00:00Z,New Jersey Allows Online Gambling Tied to Its Casinos,Negative,1
2013-02-27T15:07:34Z,Internet Sleuths Add Evidence to Chinese Military Hacking Accusations,Neutral,2
2013-03-05T08:05:28Z,"Daily Report: TV Pilots Turn to Internet, Not Networks ",Neutral,2
2013-03-06T00:00:00Z,You May Now Kiss the Computer Screen,Positive,3
2013-03-07T00:00:00Z,"Unreported Side Effects of Drugs Are Found Using Internet Search Data, Study Finds",Neutral,2
2013-03-07T00:00:00Z,Officer&#8217;s Trial Has a Jury That Appears Tech-Savvy,Negative,1
2013-03-07T12:58:08Z,Apple's Internet Radio Service Said to Be Delayed,Positive,3
2013-03-12T00:00:00Z,Iran Blocks Way to Bypass Internet Filtering System,Neutral,2
2013-03-13T00:00:00Z,France Proposes New Rules for Internet Equal Access,Negative,1
2013-03-13T00:00:00Z,"Fund That Subsidizes Internet for Schools Should Expand, a Senator Says",Neutral,2
2013-03-14T15:29:37Z,The End of Google Reader Sends Internet Into an Uproar,Neutral,2
2013-03-21T00:00:00Z,Reaching Those on the Wrong Side of the Digital Divide,Positive,3
2013-03-21T00:00:00Z,Sex Charges in Connecticut Are Dissected on Internet,Negative,1
2013-03-23T00:00:00Z,Backer of an Open Internet Steps Down as F.C.C. Chief,Positive,3
2013-03-24T00:00:00Z,Plug and Play for Internet Connections,Neutral,2
2013-03-27T00:00:00Z,"Firm Is Accused of Sending Spam, and Fight Jams Internet",Negative,1
2013-03-27T00:00:00Z,Dispute on Spam Stirs Big Assault on the Internet,Negative,1
2013-03-27T07:07:39Z,Daily Report: Dispute on Spam Stirs Big Assault on the Internet,Negative,1
2013-03-28T00:00:00Z,Attacks Used the Internet Against Itself to Clog Traffic,Negative,1
2013-03-28T00:00:00Z,Attacks Used The Internet Against Itself To Clog Traffic,Neutral,2
2013-03-28T07:04:52Z,Daily Report: Attacks Used the Internet Against Itself to Clog Traffic,Negative,1
2013-03-28T20:55:00Z,An Internet Angel for a Documentary,Negative,1
2013-03-30T00:00:00Z,Devices Like Cable Boxes Figured in Internet Attack,Negative,1
2013-04-01T00:00:00Z,Russians Selectively Blocking Internet,Negative,1
2013-04-03T11:00:05Z,Free Internet Access,Negative,1
2013-04-07T00:00:00Z,Hotels: Free Internet Access,Neutral,2
2013-04-10T00:01:14Z,Arming Cable Against the Open Internet,Neutral,2
2013-04-10T05:00:49Z,Do You Ever Seek Advice on the Internet? ,Negative,1
2013-04-11T12:28:53Z,"Speak Up, the Internet Can't Hear You",Negative,1
2013-04-12T00:00:00Z,"Internet Speeds Fail to Meet Promises in Germany, Study Shows",Neutral,2
2013-04-17T00:00:00Z,"Seeking Gun or Selling One, Web Is a Land of Few Rules",Negative,1
2013-04-22T07:33:59Z,Q&A: Uninstalling Toolbars in Internet Explorer,Negative,1
2013-04-22T15:24:24Z,"Nollywood: Censored at Home, Available on the Internet",Positive,3
2013-04-23T00:00:00Z,Internet Sales Tax Bill Gains Ground in Senate,Negative,1
2013-04-25T00:00:00Z,Amazon Plans an Internet Video Device,Negative,1
2013-04-25T00:15:23Z,A Messenger for the Internet of Things,Negative,1
2013-04-27T00:00:00Z,Dutch Man Said to Be Held in Powerful Internet Attack,Negative,1
2013-04-27T00:00:00Z,Internet Sales Tax Coming Too Late for Some Stores,Negative,1
2013-04-29T00:00:00Z,Erasing History,Negative,1
2013-04-29T00:00:00Z,Push to Require Online Sales Tax Divides the G.O.P.,Positive,3
2013-05-02T00:00:00Z,Cablevision Picks Up Glenn Beck’s Internet Channel,Negative,1
2013-05-03T19:09:35Z,"Today's Scuttlebot: Internet Cats Sue, and Google Games",Positive,3
2013-05-06T13:58:28Z,China's Changing Internet Landscape,Neutral,2
2013-05-07T00:00:00Z,"Facing Black Market, Pfizer Is Looking Online to Sell Viagra",Negative,1
2013-05-07T02:13:10Z,China's Baidu to Pay $370 Million for Internet Video Business,Neutral,2
2013-05-07T20:00:44Z,Syria Loses Access to the Internet,Neutral,2
2013-05-08T15:40:18Z,"Syria, and Pro-Government Hackers, Are Back on the Internet",Neutral,2
2013-05-10T12:48:22Z,United Nations Agency to Discuss Internet Governance Again,Negative,1
2013-05-13T21:00:20Z,"Phone Sounds Good, but How Is the Deal?",Negative,1
2013-05-14T07:00:05Z,"For Local Businesses, the Internet Threat Isn't Just the Sales Tax",Negative,1
2013-05-17T00:00:00Z,Concerns Arise on U.S. Effort to Allow Internet ‘Wiretaps’,Negative,1
2013-05-18T00:00:00Z,Sales Taxes and the Internet,Neutral,2
2013-05-20T00:00:00Z,Eavesdropping on Internet Communications,Positive,3
2013-05-23T04:30:07Z,Yahoo to Acquire Tumblr in Bold Move by Internet Pioneer,Negative,1
2013-06-03T00:00:00Z,Apple Is Said to Be Pressing for Internet Radio Deals,Neutral,2
2013-06-03T14:00:00Z,French Appear Ready to Soften Law on Media Piracy,Negative,1
2013-06-04T00:00:00Z,Internet Hate Speech,Negative,1
2013-06-05T00:00:00Z,"Kicked Off Their Flight, Students Turn to Internet",Neutral,2
2013-06-07T00:00:00Z,Obama Promises to Have High-Speed Internet in Most Schools in 5 Years,Negative,1
2013-06-07T00:00:00Z,N.S.A. Said to Have Collected Data From Internet Firms,Positive,3
2013-06-08T00:00:00Z,"U.S. Internet Spying Draws Anger, and Envy",Negative,1
2013-06-11T00:00:00Z,A New Kind of Leaker for an Internet Age,Positive,3
2013-06-11T14:48:36Z,Power and Privacy on the Internet,Negative,1
2013-06-19T12:43:48Z,General Electric Adds to Its 'Industrial Internet',Neutral,2
2013-06-19T23:09:04Z,"Sizing Up Big Data, Broadening Beyond the Internet",Negative,1
2013-06-20T09:51:23Z,Chancellor Merkel Discovers the Internet,Positive,3
2013-06-29T00:00:00Z,Chinese Official Sentenced to 13 Years in Sex Scandal That Was Exposed on Internet,Positive,3
2013-06-30T00:00:00Z,Jimmy Wales Is Not an Internet Billionaire,Neutral,2
2013-07-01T02:00:45Z,Student Reading Contest Winner | Internet Surveillance,Neutral,2
2013-07-03T11:12:46Z,Why Asian Internet Companies Struggle to Become Global,Negative,1
2013-07-04T00:00:00Z,Lawmakers Question White House Account of an Internet Surveillance Program,Negative,1
2013-07-15T18:51:07Z,Is Jimmy Wales an Internet Hero?,Positive,3
2013-07-16T00:00:00Z,Merkel Urges Europe to Tighten Internet Safeguards,Neutral,2
2013-07-19T16:11:04Z,"Today's Scuttlebot: Internet Phone Attacks, and Data Center Dollars",Negative,1
2013-07-20T00:00:00Z,F.C.C. Backs Plan to Update a Fund That Helps Connect Schools to the Internet,Negative,1
2013-07-24T19:20:25Z,"With New Device, Google Tries Again on Internet TV",Neutral,2
2013-07-26T00:00:00Z,Glenn Britt to Retire as Time Warner Cable Chief,Negative,1
2013-07-27T00:00:00Z,Turning Off Tracking on the Internet,Negative,1
2013-08-02T14:00:45Z,From North Korea With Love: A Tablet With No Internet Access,Neutral,2
2013-08-07T00:00:00Z,U.S. Denounces Vietnam’s New Limits on Dissent on Internet,Neutral,2
2013-08-14T00:00:00Z,"For Sports Fans, Before the Internet, There Were the Complete Handbooks",Positive,3
